TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,UserName,Age,Gender,Email,AgeGroup,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TransactionYear,TransactionMonth,TransactionMonthName,TransactionQuarter,DayOfWeek,UserEnrollmentCount,LearnerActivityTier,IsFreeCourse
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,morrisonamanda,33,Female,ganderson@yahoo.com,26–35,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,2025,10,Oct 2025,Q4 2025,Saturday,11,Power Learner (8+),True
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,morrisonamanda,33,Female,ganderson@yahoo.com,26–35,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,2025,1,Jan 2025,Q1 2025,Monday,11,Power Learner (8+),True
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,morrisonamanda,33,Female,ganderson@yahoo.com,26–35,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,2025,3,Mar 2025,Q1 2025,Friday,11,Power Learner (8+),True
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,fthornton,23,Female,christensencatherine@outlook.com,18–25,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,2025,6,Jun 2025,Q2 2025,Monday,13,Power Learner (8+),True
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,fthornton,23,Female,christensencatherine@outlook.com,18–25,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,2025,8,Aug 2025,Q3 2025,Sunday,13,Power Learner (8+),True
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,fthornton,23,Female,christensencatherine@outlook.com,18–25,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,2025,10,Oct 2025,Q4 2025,Thursday,13,Power Learner (8+),True
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,fthornton,23,Female,christensencatherine@outlook.com,18–25,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,2025,5,May 2025,Q2 2025,Friday,13,Power Learner (8+),True
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,fthornton,23,Female,christensencatherine@outlook.com,18–25,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,2025,5,May 2025,Q2 2025,Wednesday,13,Power Learner (8+),False
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,cherrykathleen,33,Female,michelewatkins@outlook.com,26–35,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,2025,10,Oct 2025,Q4 2025,Sunday,14,Power Learner (8+),True
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,cherrykathleen,33,Female,michelewatkins@outlook.com,26–35,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,2025,9,Sep 2025,Q3 2025,Monday,14,Power Learner (8+),True
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,cherrykathleen,33,Female,michelewatkins@outlook.com,26–35,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,2025,11,Nov 2025,Q4 2025,Wednesday,14,Power Learner (8+),True
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,cherrykathleen,33,Female,michelewatkins@outlook.com,26–35,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,2025,1,Jan 2025,Q1 2025,Monday,14,Power Learner (8+),True
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,cherrykathleen,33,Female,michelewatkins@outlook.com,26–35,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,2025,8,Aug 2025,Q3 2025,Thursday,14,Power Learner (8+),False
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,tbaker,27,Female,kelly33@yahoo.com,26–35,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,2025,4,Apr 2025,Q2 2025,Sunday,14,Power Learner (8+),True
