UserID,UserName,Age,AgeGroup,Gender,Email,TotalEnrollments,TotalSpend,FavoriteCategory,DominantLevel,FreeCoursesTaken,PaidCoursesTaken,FirstEnrollmentDate,LastEnrollmentDate,ActivityTier
U00001,wilsonjordan,15,<18,Male,patricia27@hotmail.com,1,394.26,Cybersecurity,Intermediate,0,1,2025-11-02,2025-11-02,Single-Course (1)
U00002,angela22,29,26–35,Female,hallrandy@hotmail.com,1,0.0,Programming,Beginner,1,0,2025-07-15,2025-07-15,Single-Course (1)
U00003,morrisonamanda,33,26–35,Female,ganderson@yahoo.com,11,613.98,Marketing,Beginner,8,3,2025-01-13,2025-11-16,Power Learner (8+)
U00004,fthornton,23,18–25,Female,christensencatherine@outlook.com,13,982.05,Digital Marketing,Intermediate,8,5,2025-01-06,2025-11-23,Power Learner (8+)
U00005,fostergeoffrey,21,18–25,Male,karenfuentes@yahoo.com,2,346.71,Programming,Beginner,1,1,2025-09-11,2025-12-03,Moderate (2-3)
U00006,jacksonjose,21,18–25,Male,wilsonnatalie@outlook.com,1,0.78,Machine Learning,Advanced,0,1,2025-11-19,2025-11-19,Single-Course (1)
U00007,grodriguez,24,18–25,Male,lopezjoseph@gmail.com,1,0.0,Cybersecurity,Intermediate,1,0,2025-03-08,2025-03-08,Single-Course (1)
U00008,adkinsapril,33,26–35,Female,sanfordtaylor@gmail.com,1,0.0,Finance,Intermediate,1,0,2025-07-30,2025-07-30,Single-Course (1)
U00009,heathercallahan,20,18–25,Female,chelseastephenson@outlook.com,1,276.37,Design,Advanced,0,1,2025-06-19,2025-06-19,Single-Course (1)
U00010,qlam,34,26–35,Female,brian31@outlook.com,2,326.02,Artificial Intelligence,Beginner,1,1,2025-08-02,2025-10-01,Moderate (2-3)
U00011,ashley16,15,<18,Female,guzmanantonio@outlook.com,2,299.57,Data Science,Beginner,1,1,2025-03-28,2025-09-24,Moderate (2-3)
U00012,mirandatimothy,15,<18,Female,paula93@outlook.com,2,327.99,Design,Beginner,1,1,2025-09-08,2025-09-14,Moderate (2-3)
U00013,cherrykathleen,33,26–35,Female,michelewatkins@outlook.com,14,1432.33,Machine Learning,Beginner,9,5,2025-01-20,2025-12-22,Power Learner (8+)
U00014,huertatimothy,30,26–35,Male,gabrielanderson@yahoo.com,1,0.0,Machine Learning,Advanced,1,0,2025-04-11,2025-04-11,Single-Course (1)
U00015,tbaker,27,26–35,Female,kelly33@yahoo.com,14,2035.0600000000002,Artificial Intelligence,Beginner,7,7,2025-01-16,2025-12-22,Power Learner (8+)
U00016,josephmullins,32,26–35,Male,amysparks@outlook.com,1,0.0,Marketing,Advanced,1,0,2025-09-27,2025-09-27,Single-Course (1)
U00017,theresa55,24,18–25,Male,pachecojeremy@gmail.com,3,963.18,Artificial Intelligence,Beginner,1,2,2025-02-02,2025-11-26,Moderate (2-3)
U00018,nicole97,24,18–25,Female,aprilharrell@hotmail.com,16,1468.03,Artificial Intelligence,Beginner,10,6,2025-01-12,2025-12-13,Power Learner (8+)
U00019,rlawson,24,18–25,Female,kingjulia@gmail.com,1,0.0,Design,Beginner,1,0,2025-11-10,2025-11-10,Single-Course (1)
U00020,evansmichael,27,26–35,Female,eharris@hotmail.com,1,0.0,Programming,Beginner,1,0,2025-07-17,2025-07-17,Single-Course (1)
U00021,autumn63,15,<18,Male,julieestrada@hotmail.com,2,177.34,Cybersecurity,Advanced,1,1,2025-04-08,2025-05-08,Moderate (2-3)
U00022,patriciaadkins,31,26–35,Male,thomas63@hotmail.com,1,0.0,Project Management,Beginner,1,0,2025-05-20,2025-05-20,Single-Course (1)
U00023,micheal78,32,26–35,Male,ashleymorris@yahoo.com,1,0.0,Design,Beginner,1,0,2025-06-14,2025-06-14,Single-Course (1)
U00024,steven43,18,18–25,Female,petersonlori@yahoo.com,1,0.0,Cybersecurity,Intermediate,1,0,2025-09-27,2025-09-27,Single-Course (1)
U00025,georgewhite,34,26–35,Male,jamesbradshaw@hotmail.com,4,119.04,Finance,Advanced,3,1,2025-01-04,2025-08-18,Active (4-7)
U00026,andrew02,19,18–25,Male,jason57@yahoo.com,1,327.99,Project Management,Beginner,0,1,2025-11-06,2025-11-06,Single-Course (1)
U00027,hunter32,31,26–35,Male,ronaldthomas@yahoo.com,2,0.0,Cybersecurity,Intermediate,2,0,2025-07-25,2025-10-08,Moderate (2-3)
U00028,zgomez,30,26–35,Female,rwhitaker@outlook.com,12,1012.66,Finance,Beginner,9,3,2025-01-11,2025-10-23,Power Learner (8+)
U00029,hartmanjon,30,26–35,Male,nicole88@gmail.com,1,326.02,Business,Intermediate,0,1,2025-07-09,2025-07-09,Single-Course (1)
U00030,david76,34,26–35,Male,robert64@outlook.com,1,0.0,Project Management,Intermediate,1,0,2025-11-15,2025-11-15,Single-Course (1)
U00031,lovedavid,30,26–35,Male,fbooth@yahoo.com,1,0.0,Web Development,Beginner,1,0,2025-10-21,2025-10-21,Single-Course (1)
U00032,veronica83,18,18–25,Male,andrea24@yahoo.com,1,285.05,Business,Beginner,0,1,2025-04-10,2025-04-10,Single-Course (1)
U00033,rodrigueznatalie,25,18–25,Male,linda50@gmail.com,1,276.37,Design,Advanced,0,1,2025-02-02,2025-02-02,Single-Course (1)
